,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,LARD-distances
1444,The object is a bottle of prescription pills.,prescription_medicine_bottle_1_3,0,[0 2 3 4 1],prescription_medicine_bottle_1_3,"['prescription_medicine_bottle_1_3' 'can_opener_2_1' 'soda_bottle_3_2'
 'picture_frame_2_1' 'can_opener_1_4']",[0.43 0.5  0.56 0.59 0.5 ],[0.52 0.53 0.53 0.56 0.47],[0.47 0.51 0.55 0.57 0.49],[0.4  0.55 0.52 0.59 0.51]
1445,A bottle of prescription medication with label and white cap.,prescription_medicine_bottle_1_3,0,[0 1 4 2 3],prescription_medicine_bottle_1_3,"['prescription_medicine_bottle_1_3' 'scissors_2_3' 'stapler_2_3'
 'toothbrush_4_1' 'bowl_3_2']",[0.38 0.5  0.52 0.47 0.58],[0.42 0.51 0.63 0.59 0.51],[0.4  0.51 0.57 0.53 0.54],[0.32 0.53 0.61 0.56 0.67]
1446,The object is a vial of medicine. The vial is orange with a white cap.,prescription_medicine_bottle_1_3,2,[2 4 0 3 1],toothbrush_5_3,"['prescription_medicine_bottle_1_3' 'lemon_4_4' 'toothbrush_5_3'
 'bowl_3_2' 'toothbrush_4_2']",[0.53 0.57 0.51 0.55 0.58],[0.57 0.6  0.48 0.55 0.51],[0.55 0.59 0.49 0.55 0.55],[0.45 0.57 0.46 0.57 0.57]
1447,On the turntable is an orange medicine bottle with prescription label and a white cap. This is the type of medication bottle you would get at a pharmacy for prescribed medication.,prescription_medicine_bottle_1_3,1,[1 3 0 2 4],screwdriver_5_4,"['prescription_medicine_bottle_1_3' 'hammer_1_3' 'screwdriver_5_4'
 'shampoo_2_2' 'cell_phone_3_2']",[0.56 0.57 0.5  0.51 0.61],[0.5  0.52 0.48 0.56 0.6 ],[0.53 0.55 0.49 0.54 0.61],[0.43 0.66 0.57 0.44 0.63]
1448,It is a small orange prescription bopttle.,prescription_medicine_bottle_1_3,2,[2 4 1 0 3],food_can_5_2,"['prescription_medicine_bottle_1_3' 'fork_4_2' 'coffee_mug_3_1'
 'food_can_5_2' 'medicine_bottle_4_2']",[0.54 0.68 0.5  0.49 0.56],[0.55 0.57 0.51 0.48 0.6 ],[0.55 0.62 0.5  0.49 0.58],[0.5  0.57 0.53 0.53 0.53]
1449,There is a medicine bottle there.  The body is see-through orange and it has a white label and cap.,prescription_medicine_bottle_1_3,3,[3 1 0 2 4],apple_2_3,"['prescription_medicine_bottle_1_3' 'bowl_2_3' 'apple_2_3' 'spoon_1_3'
 'band_aid_4_2']",[0.51 0.51 0.49 0.51 0.66],[0.57 0.47 0.43 0.54 0.53],[0.54 0.49 0.46 0.52 0.6 ],[0.42 0.55 0.55 0.62 0.64]
1450,This is a black portable flashlightt,flashlight_2_1,1,[1 2 3 4 0],hammer_1_3,['flashlight_2_1' 'screwdriver_5_1' 'sponge_2_4' 'book_2_4' 'hammer_1_3'],[0.55 0.56 0.54 0.58 0.49],[0.49 0.5  0.52 0.57 0.48],[0.52 0.53 0.53 0.57 0.48],[0.48 0.45 0.56 0.6  0.52]
1451,A small handheld flashlight with a strap,flashlight_2_1,0,[0 1 2 4 3],flashlight_2_1,"['flashlight_2_1' 'picture_frame_3_1' 'banana_1_3' 'allen_wrench_2_3'
 'marker_6_3']",[0.54 0.49 0.55 0.66 0.57],[0.43 0.49 0.5  0.6  0.51],[0.49 0.49 0.53 0.63 0.54],[0.49 0.5  0.58 0.6  0.61]
1452,This object is a small black flashlight.,flashlight_2_1,0,[0 2 1 4 3],flashlight_2_1,"['flashlight_2_1' 'food_jar_3_2' 'can_opener_5_4' 'shampoo_4_2'
 'pencil_3_4']",[0.48 0.56 0.45 0.69 0.56],[0.32 0.59 0.49 0.63 0.66],[0.4  0.57 0.47 0.66 0.61],[0.45 0.56 0.52 0.67 0.64]
1453,a small black flashlight with handle,flashlight_2_1,2,[2 3 0 1 4],measuring_tape_1_1,"['flashlight_2_1' 'allen_wrench_2_3' 'measuring_tape_1_1' 'toothbrush_2_1'
 'apple_1_5']",[0.58 0.53 0.46 0.53 0.65],[0.51 0.57 0.44 0.54 0.68],[0.54 0.55 0.45 0.54 0.67],[0.51 0.6  0.41 0.63 0.69]
1454,This item is used to light things up when things are dark.  It is portable and runs on batteries.,flashlight_2_1,2,[2 0 1 4 3],screwdriver_5_4,"['flashlight_2_1' 'screwdriver_5_4' 'lime_1_1' 'bell_pepper_3_4'
 'picture_frame_3_1']",[0.61 0.44 0.54 0.6  0.57],[0.49 0.46 0.54 0.6  0.59],[0.55 0.45 0.54 0.6  0.58],[0.52 0.45 0.6  0.71 0.56]
1455,A small black flashlight with a wrist strap.,flashlight_2_1,1,[1 0 2 3 4],scissors_3_3,['flashlight_2_1' 'scissors_3_3' 'lime_3_1' 'lime_3_1' 'screwdriver_1_3'],[0.45 0.4  0.55 0.55 0.58],[0.44 0.44 0.55 0.55 0.55],[0.44 0.42 0.55 0.55 0.57],[0.44 0.37 0.46 0.46 0.52]
1456,a device used to emit light,flashlight_2_1,0,[0 2 4 3 1],flashlight_2_1,"['flashlight_2_1' 'eye_glasses_4_2' 'scissors_2_1' 'syringe_4_1'
 'soda_bottle_4_3']",[0.6  0.65 0.79 0.67 0.56],[0.43 0.47 0.71 0.67 0.49],[0.51 0.56 0.75 0.67 0.53],[0.52 0.61 0.6  0.62 0.57]
1457,It is a black flashlight with a black strap.,flashlight_2_1,0,[0 3 4 1 2],flashlight_2_1,['flashlight_2_1' 'apple_1_5' 'pliers_3_4' 'water_bottle_4_4' 'lemon_2_4'],[0.54 0.59 0.61 0.56 0.61],[0.5  0.58 0.6  0.61 0.56],[0.52 0.59 0.61 0.58 0.58],[0.5  0.66 0.43 0.58 0.65]
1458,There is a small black flashlight with a wrist strap on the end of it.,flashlight_2_1,0,[0 4 1 3 2],flashlight_2_1,"['flashlight_2_1' 'allen_wrench_2_3' 'coffee_mug_3_1' 'bell_pepper_1_1'
 'toothbrush_3_3']",[0.49 0.71 0.55 0.63 0.64],[0.42 0.63 0.58 0.54 0.51],[0.46 0.67 0.57 0.59 0.58],[0.46 0.68 0.59 0.65 0.59]
1459,It is a black flashlight,flashlight_2_1,3,[3 2 0 4 1],picture_frame_5_3,"['flashlight_2_1' 'marker_3_1' 'picture_frame_5_3' 'food_can_3_3'
 'eye_glasses_2_3']",[0.56 0.55 0.48 0.6  0.49],[0.46 0.46 0.52 0.62 0.51],[0.51 0.51 0.5  0.61 0.5 ],[0.45 0.48 0.43 0.65 0.47]
1460,It is a red-packaged blue Colgate toothbrush.,toothbrush_5_3,0,[0 2 4 3 1],toothbrush_5_3,"['toothbrush_5_3' 'stapler_4_4' 'food_can_3_2' 'eye_glasses_4_2'
 'lightbulb_2_2']",[0.46 0.63 0.71 0.68 0.57],[0.43 0.6  0.68 0.67 0.49],[0.44 0.62 0.7  0.67 0.53],[0.43 0.57 0.72 0.74 0.55]
1461,It is a black keychain tape measure.,measuring_tape_4_1,0,[0 1 4 3 2],measuring_tape_4_1,"['measuring_tape_4_1' 'coffee_mug_1_1' 'apple_5_4' 'marker_1_2'
 'lightbulb_5_2']",[0.41 0.5  0.59 0.6  0.55],[0.44 0.53 0.59 0.48 0.51],[0.43 0.51 0.59 0.54 0.53],[0.43 0.62 0.71 0.47 0.53]
1462,The object is a packaged toothbrush.,toothbrush_5_3,0,[0 1 2 4 3],toothbrush_5_3,"['toothbrush_5_3' 'medicine_bottle_3_4' 'lemon_4_4' 'scissors_6_1'
 'fork_2_3']",[0.58 0.53 0.57 0.57 0.59],[0.49 0.54 0.54 0.59 0.56],[0.54 0.54 0.55 0.58 0.57],[0.47 0.51 0.58 0.54 0.49]
1463,NA,measuring_tape_4_1,0,[0 2 4 1 3],measuring_tape_4_1,"['measuring_tape_4_1' 'pencil_5_2' 'soda_bottle_5_4' 'bell_pepper_4_3'
 'marker_3_1']",[0.44 0.48 0.59 0.45 0.51],[0.41 0.47 0.57 0.49 0.45],[0.42 0.47 0.58 0.47 0.48],[0.42 0.56 0.57 0.5  0.48]
1464,a toothbrush used to brush teeth,toothbrush_5_3,1,[1 2 4 3 0],flashlight_2_3,['toothbrush_5_3' 'mouse_2_3' 'lemon_5_3' 'bowl_5_4' 'flashlight_2_3'],[0.47 0.49 0.77 0.6  0.47],[0.51 0.52 0.76 0.57 0.46],[0.49 0.5  0.76 0.59 0.46],[0.49 0.63 0.84 0.63 0.48]
1465,a tape measure used to measure things,measuring_tape_4_1,1,[1 0 4 3 2],plate_3_1,"['measuring_tape_4_1' 'plate_3_1' 'band_aid_2_4' 'food_jar_3_1'
 'gauze_2_2']",[0.4  0.43 0.55 0.54 0.52],[0.46 0.43 0.54 0.51 0.49],[0.43 0.43 0.55 0.52 0.51],[0.45 0.51 0.61 0.57 0.53]
1466,Red package holding handtool that is needed to brush one's teeth.,toothbrush_5_3,4,[4 1 0 2 3],food_jar_5_2,"['toothbrush_5_3' 'scissors_1_3' 'food_jar_5_2' 'potato_1_1'
 'picture_frame_2_1']",[0.58 0.42 0.43 0.49 0.6 ],[0.57 0.57 0.45 0.5  0.48],[0.58 0.49 0.44 0.5  0.54],[0.52 0.55 0.63 0.63 0.6 ]
1467,NA,measuring_tape_4_1,1,[1 2 3 0 4],allen_wrench_1_4,['measuring_tape_4_1' 'gauze_2_3' 'book_3_1' 'allen_wrench_1_4' 'book_2_4'],[0.43 0.49 0.56 0.39 0.53],[0.45 0.53 0.53 0.42 0.57],[0.44 0.51 0.54 0.4  0.55],[0.36 0.52 0.58 0.42 0.6 ]
1468,this is a packaged colgate toothbrush.,toothbrush_5_3,1,[1 3 2 0 4],screwdriver_1_3,"['toothbrush_5_3' 'coffee_mug_5_2' 'lightbulb_2_2' 'screwdriver_1_3'
 'fork_5_1']",[0.5  0.6  0.55 0.49 0.57],[0.49 0.58 0.52 0.49 0.62],[0.5  0.59 0.54 0.49 0.6 ],[0.49 0.68 0.6  0.49 0.56]
1469,this is a key chain.,measuring_tape_4_1,0,[0 3 2 4 1],measuring_tape_4_1,"['measuring_tape_4_1' 'plate_3_4' 'medicine_bottle_3_4' 'bell_pepper_5_1'
 'lime_3_1']",[0.45 0.57 0.53 0.62 0.49],[0.46 0.56 0.47 0.56 0.46],[0.45 0.56 0.5  0.59 0.48],[0.48 0.64 0.57 0.68 0.54]
1470,A new  blue handled Colgate toothbrush in its package.,toothbrush_5_3,2,[2 1 0 4 3],bell_pepper_1_1,"['toothbrush_5_3' 'eye_glasses_3_4' 'bell_pepper_1_1' 'pencil_5_2'
 'spoon_2_3']",[0.53 0.54 0.48 0.66 0.59],[0.51 0.49 0.49 0.53 0.51],[0.52 0.52 0.48 0.59 0.55],[0.49 0.56 0.54 0.59 0.57]
1471,A tiny black tape measure that is also a key ring.,measuring_tape_4_1,0,[0 1 4 3 2],measuring_tape_4_1,"['measuring_tape_4_1' 'screwdriver_5_1' 'apple_1_5' 'pencil_2_1'
 'plate_1_2']",[0.42 0.41 0.56 0.56 0.49],[0.49 0.5  0.6  0.48 0.46],[0.45 0.46 0.58 0.52 0.47],[0.38 0.39 0.64 0.47 0.45]
1472,This is a blue toothbrush unopened in the package,toothbrush_5_3,0,[0 4 2 3 1],toothbrush_5_3,"['toothbrush_5_3' 'apple_1_5' 'scissors_2_1' 'coffee_mug_1_1'
 'can_opener_4_1']",[0.48 0.7  0.54 0.58 0.48],[0.49 0.68 0.53 0.6  0.59],[0.48 0.69 0.53 0.59 0.53],[0.49 0.83 0.58 0.73 0.57]
1473,This is a mini black retractable tape measure on a keychain,measuring_tape_4_1,0,[0 3 2 4 1],measuring_tape_4_1,"['measuring_tape_4_1' 'band_aid_4_2' 'banana_5_4' 'fork_4_2'
 'can_opener_3_4']",[0.42 0.59 0.49 0.58 0.48],[0.46 0.5  0.55 0.53 0.45],[0.44 0.55 0.52 0.56 0.47],[0.43 0.47 0.48 0.52 0.43]
1474,This is a toothbrush in its original packaging.,toothbrush_5_3,1,[1 2 0 4 3],syringe_1_1,"['toothbrush_5_3' 'potato_2_1' 'syringe_1_1' 'water_bottle_3_3'
 'shampoo_5_2']",[0.55 0.51 0.51 0.6  0.59],[0.45 0.51 0.46 0.58 0.48],[0.5  0.51 0.49 0.59 0.54],[0.47 0.62 0.53 0.63 0.57]
1475,This is a measuring tape on a keyring.,measuring_tape_4_1,0,[0 4 1 3 2],measuring_tape_4_1,"['measuring_tape_4_1' 'shampoo_2_2' 'scissors_4_1' 'gauze_2_2'
 'coffee_mug_2_1']",[0.48 0.56 0.52 0.58 0.53],[0.47 0.6  0.53 0.55 0.58],[0.48 0.58 0.52 0.57 0.55],[0.5  0.55 0.55 0.5  0.5 ]
1476,a packaged toothbush,toothbrush_5_3,0,[0 2 3 4 1],toothbrush_5_3,"['toothbrush_5_3' 'bell_pepper_5_1' 'screwdriver_4_3' 'measuring_tape_1_1'
 'lightbulb_1_4']",[0.51 0.6  0.58 0.67 0.57],[0.52 0.58 0.63 0.61 0.55],[0.52 0.59 0.6  0.64 0.56],[0.46 0.66 0.57 0.73 0.59]
1477,a black key ring,measuring_tape_4_1,0,[0 2 1 4 3],measuring_tape_4_1,"['measuring_tape_4_1' 'food_can_3_2' 'screwdriver_2_2' 'book_5_4'
 'allen_wrench_2_3']",[0.42 0.55 0.56 0.72 0.62],[0.48 0.57 0.54 0.62 0.57],[0.45 0.56 0.55 0.67 0.59],[0.34 0.57 0.57 0.71 0.5 ]
1478,A red packaged blue and white toothbrush.,toothbrush_5_3,2,[2 4 1 3 0],picture_frame_5_3,"['toothbrush_5_3' 'pencil_3_4' 'coffee_mug_1_1' 'fork_5_1'
 'picture_frame_5_3']",[0.52 0.55 0.5  0.55 0.52],[0.51 0.63 0.5  0.6  0.48],[0.52 0.59 0.5  0.57 0.5 ],[0.51 0.65 0.63 0.56 0.61]
1479,A small black measuring tape with a key ring.,measuring_tape_4_1,0,[0 1 4 3 2],measuring_tape_4_1,"['measuring_tape_4_1' 'fork_3_4' 'toothbrush_1_1' 'pliers_5_3'
 'shampoo_1_2']",[0.46 0.5  0.56 0.56 0.54],[0.49 0.59 0.55 0.54 0.56],[0.47 0.55 0.55 0.55 0.55],[0.42 0.54 0.51 0.56 0.59]
1480,The object is a red plate.,plate_3_4,1,[1 2 3 4 0],potato_1_1,"['plate_3_4' 'prescription_medicine_bottle_3_3' 'water_bottle_2_3'
 'screwdriver_3_3' 'potato_1_1']",[0.55 0.59 0.55 0.52 0.46],[0.52 0.52 0.6  0.66 0.45],[0.53 0.56 0.57 0.59 0.46],[0.48 0.49 0.53 0.54 0.46]
1481,A large red glass plate.,plate_3_4,0,[0 1 4 3 2],plate_3_4,['plate_3_4' 'pliers_3_4' 'marker_2_1' 'pliers_2_3' 'sponge_2_4'],[0.49 0.53 0.62 0.61 0.58],[0.44 0.53 0.55 0.51 0.52],[0.47 0.53 0.58 0.56 0.55],[0.48 0.52 0.53 0.48 0.44]
1482,In this image is a red glass plate used for eating food off of.,plate_3_4,1,[1 0 2 4 3],coffee_mug_3_1,"['plate_3_4' 'coffee_mug_3_1' 'lemon_3_4'
 'prescription_medicine_bottle_3_3' 'can_opener_4_1']",[0.5  0.42 0.53 0.62 0.56],[0.45 0.43 0.54 0.56 0.62],[0.48 0.42 0.54 0.59 0.59],[0.38 0.47 0.54 0.58 0.6 ]
1483,"On the turntable is a red, shiny dish.",plate_3_4,0,[0 1 4 3 2],plate_3_4,['plate_3_4' 'screwdriver_5_4' 'hammer_2_4' 'book_5_4' 'can_opener_1_4'],[0.54 0.55 0.6  0.6  0.63],[0.51 0.57 0.6  0.59 0.54],[0.53 0.56 0.6  0.59 0.58],[0.4  0.57 0.7  0.73 0.65]
1484,This is a clean red plate.,plate_3_4,0,[0 4 3 2 1],plate_3_4,"['plate_3_4' 'scissors_6_1' 'prescription_medicine_bottle_1_3'
 'banana_3_4' 'food_can_2_1']",[0.51 0.61 0.6  0.59 0.6 ],[0.46 0.62 0.63 0.59 0.53],[0.49 0.61 0.61 0.59 0.56],[0.47 0.57 0.6  0.54 0.49]
1485,The object is a dark red plate.,plate_3_4,2,[2 3 0 4 1],onion_5_1,['plate_3_4' 'scissors_1_3' 'onion_5_1' 'toothbrush_4_2' 'lightbulb_4_3'],[0.47 0.51 0.44 0.58 0.48],[0.46 0.46 0.44 0.53 0.42],[0.46 0.49 0.44 0.56 0.45],[0.34 0.55 0.49 0.63 0.49]
1486,It is a red plate.,plate_3_4,0,[0 2 1 3 4],plate_3_4,['plate_3_4' 'marker_3_1' 'mouse_1_1' 'fork_4_2' 'fork_4_2'],[0.5  0.55 0.5  0.55 0.55],[0.47 0.51 0.52 0.53 0.53],[0.48 0.53 0.51 0.54 0.54],[0.35 0.48 0.51 0.62 0.62]
1487,a red plate,plate_3_4,1,[1 4 3 0 2],eye_glasses_2_3,['plate_3_4' 'lime_5_3' 'potato_1_1' 'eye_glasses_2_3' 'screwdriver_4_3'],[0.55 0.57 0.54 0.49 0.51],[0.51 0.65 0.56 0.53 0.54],[0.53 0.61 0.55 0.51 0.53],[0.43 0.56 0.54 0.56 0.55]
1488,There is a cherry red stoneware plate with decorative edging along the outer rim and along the inner base.,plate_3_4,1,[1 3 2 0 4],allen_wrench_2_2,['plate_3_4' 'lime_5_3' 'food_jar_4_1' 'allen_wrench_2_2' 'stapler_1_1'],[0.56 0.58 0.6  0.55 0.57],[0.51 0.59 0.57 0.5  0.61],[0.53 0.59 0.58 0.53 0.59],[0.56 0.65 0.57 0.62 0.6 ]
1489,A red shiny plate.,plate_3_4,0,[0 4 1 2 3],plate_3_4,"['plate_3_4' 'allen_wrench_4_3' 'pliers_3_4' 'toothpaste_2_4'
 'prescription_medicine_bottle_3_3']",[0.49 0.57 0.48 0.53 0.56],[0.45 0.55 0.48 0.5  0.53],[0.47 0.56 0.48 0.51 0.55],[0.45 0.44 0.53 0.52 0.57]
1490,It is a sealed can of red pasta sauce.,food_jar_3_1,0,[0 1 4 2 3],food_jar_3_1,"['food_jar_3_1' 'banana_1_3' 'screwdriver_4_3' 'can_opener_4_4'
 'lemon_4_4']",[0.46 0.54 0.58 0.48 0.57],[0.42 0.41 0.63 0.54 0.61],[0.44 0.47 0.6  0.51 0.59],[0.37 0.51 0.65 0.59 0.61]
1491,This is spaghetti sauce.,food_jar_3_1,0,[0 2 3 1 4],food_jar_3_1,"['food_jar_3_1' 'plate_5_4' 'toothbrush_5_3' 'soda_bottle_5_4'
 'band_aid_1_1']",[0.44 0.56 0.59 0.53 0.63],[0.46 0.49 0.58 0.51 0.62],[0.45 0.53 0.58 0.52 0.62],[0.4  0.56 0.57 0.44 0.61]
1492,A jar of tomato sauce.,food_jar_3_1,0,[0 3 4 2 1],food_jar_3_1,"['food_jar_3_1' 'apple_5_4' 'potato_2_1' 'scissors_6_1'
 'medicine_bottle_5_2']",[0.41 0.6  0.64 0.49 0.42],[0.42 0.56 0.57 0.57 0.45],[0.41 0.58 0.61 0.53 0.44],[0.32 0.67 0.61 0.52 0.47]
1493,This is a glass jar of red pasta sauce,food_jar_3_1,0,[0 3 1 4 2],food_jar_3_1,"['food_jar_3_1' 'lightbulb_2_4' 'pencil_5_2' 'plate_3_1'
 'picture_frame_4_4']",[0.47 0.55 0.55 0.61 0.52],[0.48 0.48 0.46 0.59 0.51],[0.47 0.51 0.51 0.6  0.51],[0.46 0.38 0.57 0.51 0.58]
1494,There is a can of tomato sauce.  It is unopened and the sauce is red.,food_jar_3_1,0,[0 2 1 4 3],food_jar_3_1,['food_jar_3_1' 'screwdriver_4_3' 'sponge_2_4' 'syringe_4_1' 'lemon_2_4'],[0.4  0.54 0.58 0.69 0.69],[0.41 0.63 0.58 0.68 0.63],[0.4  0.58 0.58 0.69 0.66],[0.36 0.6  0.66 0.66 0.66]
1495,This is a glass jar of pasta sauce that has not been opened.,food_jar_3_1,1,[1 0 2 4 3],marker_2_1,['food_jar_3_1' 'marker_2_1' 'bowl_1_4' 'band_aid_1_4' 'fork_5_1'],[0.49 0.51 0.57 0.51 0.55],[0.5  0.44 0.52 0.6  0.56],[0.5  0.48 0.55 0.56 0.55],[0.47 0.47 0.53 0.55 0.61]
1496,a jar of spaghetti sause,food_jar_3_1,0,[0 2 3 4 1],food_jar_3_1,"['food_jar_3_1' 'flashlight_2_3' 'syringe_5_1' 'screwdriver_2_1'
 'picture_frame_2_1']",[0.39 0.59 0.69 0.7  0.57],[0.38 0.62 0.65 0.72 0.45],[0.38 0.6  0.67 0.71 0.51],[0.4  0.52 0.61 0.58 0.56]
1497,A medium height glass jar with a yellow label that has red at the top and a silver screw on lid. It's containing a red sauce.,food_jar_3_1,0,[0 2 3 4 1],food_jar_3_1,"['food_jar_3_1' 'soda_bottle_1_1' 'screwdriver_3_3' 'toothpaste_5_2'
 'bowl_5_4']",[0.44 0.51 0.52 0.54 0.46],[0.5  0.51 0.51 0.63 0.51],[0.47 0.51 0.52 0.59 0.48],[0.42 0.48 0.53 0.57 0.5 ]
1498,It is a jar of tomato sauce,food_jar_3_1,2,[2 3 4 1 0],sponge_1_3,['food_jar_3_1' 'shampoo_2_2' 'fork_1_2' 'onion_3_4' 'sponge_1_3'],[0.52 0.51 0.66 0.42 0.51],[0.45 0.59 0.67 0.54 0.44],[0.48 0.55 0.66 0.48 0.48],[0.35 0.49 0.69 0.48 0.5 ]
1499,This is a large glass jar of marinara sauce.,food_jar_3_1,2,[2 0 4 3 1],bowl_3_2,['food_jar_3_1' 'bowl_3_2' 'lemon_4_4' 'can_opener_2_1' 'bell_pepper_1_1'],[0.51 0.47 0.59 0.53 0.48],[0.5  0.43 0.59 0.52 0.45],[0.51 0.45 0.59 0.52 0.46],[0.36 0.45 0.59 0.61 0.5 ]
1500,this is black notebook.,notebook_2_4,1,[1 2 4 3 0],hammer_1_3,['notebook_2_4' 'hammer_5_1' 'apple_4_4' 'food_jar_1_3' 'hammer_1_3'],[0.47 0.53 0.6  0.58 0.56],[0.62 0.57 0.64 0.52 0.49],[0.55 0.55 0.62 0.55 0.52],[0.49 0.51 0.52 0.51 0.53]
1501,this is a black notebook.,notebook_2_3,0,[0 3 4 1 2],notebook_2_3,"['notebook_2_3' 'bell_pepper_5_1' 'fork_4_2' 'medicine_bottle_5_2'
 'medicine_bottle_3_4']",[0.47 0.61 0.58 0.54 0.59],[0.54 0.59 0.63 0.51 0.57],[0.51 0.6  0.6  0.53 0.58],[0.49 0.54 0.6  0.46 0.49]
1502,this is a large red spiraled notebook.,notebook_1_1,0,[0 4 2 3 1],notebook_1_1,['notebook_1_1' 'scissors_2_3' 'stapler_3_2' 'potato_2_1' 'food_jar_1_3'],[0.42 0.64 0.62 0.63 0.59],[0.45 0.59 0.58 0.6  0.5 ],[0.43 0.62 0.6  0.62 0.54],[0.4  0.63 0.62 0.63 0.58]
1503,It is a black bound book with blank pages.,notebook_2_4,0,[0 3 4 1 2],notebook_2_4,"['notebook_2_4' 'soda_bottle_3_2' 'cell_phone_2_2' 'cap_1_2'
 'bell_pepper_4_3']",[0.48 0.6  0.62 0.52 0.53],[0.53 0.56 0.55 0.52 0.61],[0.5  0.58 0.58 0.52 0.57],[0.55 0.6  0.46 0.54 0.57]
1504,It is a book with pages one can write on.,notebook_2_3,0,[0 1 4 3 2],notebook_2_3,"['notebook_2_3' 'eye_glasses_2_3' 'lime_1_1' 'medicine_bottle_4_2'
 'food_jar_4_1']",[0.46 0.49 0.6  0.58 0.57],[0.55 0.56 0.61 0.62 0.55],[0.5  0.52 0.61 0.6  0.56],[0.45 0.49 0.62 0.56 0.5 ]
1505,It is a spiral book that contains blank pages that can writing on.,notebook_1_1,0,[0 4 1 2 3],notebook_1_1,"['notebook_1_1' 'scissors_5_1' 'band_aid_3_2' 'picture_frame_2_1'
 'prescription_medicine_bottle_3_3']",[0.4  0.67 0.44 0.54 0.61],[0.45 0.68 0.44 0.51 0.52],[0.43 0.67 0.44 0.52 0.56],[0.35 0.72 0.41 0.51 0.57]
1506,This is a notebook with a black cover and an elastic closure. The opening of the notebook is facing forward.,notebook_2_4,3,[3 4 2 0 1],banana_3_4,['notebook_2_4' 'marker_5_2' 'stapler_2_3' 'banana_3_4' 'flashlight_2_3'],[0.56 0.58 0.56 0.48 0.54],[0.65 0.74 0.52 0.43 0.53],[0.6  0.66 0.54 0.46 0.53],[0.58 0.65 0.5  0.55 0.56]
1507,This is a notebook with a black cover and an elastic closure. The bottom of the notebook is facing forward and the binding on the left side.,notebook_2_3,3,[3 4 0 2 1],lightbulb_1_4,"['notebook_2_3' 'band_aid_5_3' 'lightbulb_1_4' 'medicine_bottle_3_4'
 'cap_2_2']",[0.47 0.5  0.49 0.56 0.56],[0.63 0.63 0.55 0.5  0.49],[0.55 0.56 0.52 0.53 0.52],[0.53 0.52 0.59 0.6  0.62]
1508,This is a spiral notebook with a red cover and a gold design on the front. Some of the pages have been bent.,notebook_1_1,0,[0 2 1 4 3],notebook_1_1,"['notebook_1_1' 'toothpaste_5_2' 'measuring_tape_1_3' 'scissors_6_1'
 'stapler_2_1']",[0.56 0.53 0.56 0.57 0.63],[0.5  0.56 0.52 0.63 0.54],[0.53 0.54 0.54 0.6  0.59],[0.45 0.62 0.61 0.7  0.7 ]
1509,A small black book with an elastic band closure.,notebook_2_4,2,[2 0 4 1 3],toothbrush_5_3,"['notebook_2_4' 'toothbrush_5_3' 'syringe_2_4' 'toothbrush_5_3'
 'pencil_4_4']",[0.46 0.46 0.55 0.46 0.5 ],[0.52 0.43 0.56 0.43 0.48],[0.49 0.45 0.55 0.45 0.49],[0.45 0.46 0.6  0.46 0.49]
1510,A small black book with an elastic band closure.,notebook_2_3,2,[2 1 4 0 3],lime_4_2,"['notebook_2_3' 'picture_frame_1_2' 'toothpaste_3_1' 'lime_4_2'
 'coffee_mug_5_2']",[0.47 0.48 0.55 0.5  0.5 ],[0.51 0.48 0.58 0.45 0.58],[0.49 0.48 0.57 0.47 0.54],[0.47 0.51 0.59 0.69 0.46]
1511,A spiral bound lined notebook in the color red.,notebook_1_1,1,[1 2 3 4 0],toothpaste_2_4,['notebook_1_1' 'book_2_4' 'screwdriver_2_2' 'lime_2_3' 'toothpaste_2_4'],[0.56 0.55 0.57 0.77 0.51],[0.53 0.56 0.57 0.65 0.46],[0.55 0.56 0.57 0.71 0.49],[0.46 0.44 0.58 0.76 0.51]
1512,a tablet cover case,notebook_2_4,1,[1 4 2 0 3],flashlight_3_4,"['notebook_2_4' 'syringe_5_3' 'prescription_medicine_bottle_3_3'
 'flashlight_3_4' 'water_bottle_5_4']",[0.48 0.67 0.62 0.44 0.66],[0.64 0.66 0.54 0.47 0.56],[0.56 0.67 0.58 0.46 0.61],[0.56 0.65 0.55 0.46 0.61]
1513,a tablet cover case,notebook_2_3,1,[1 0 3 4 2],pill_cutter_1_4,['notebook_2_3' 'pill_cutter_1_4' 'lightbulb_4_3' 'onion_5_1' 'hammer_3_3'],[0.49 0.44 0.52 0.63 0.5 ],[0.53 0.47 0.61 0.59 0.58],[0.51 0.45 0.56 0.61 0.54],[0.47 0.48 0.55 0.6  0.54]
1514,a red spiral notebook,notebook_1_1,0,[0 3 1 2 4],notebook_1_1,['notebook_1_1' 'shampoo_1_2' 'spoon_3_3' 'apple_2_3' 'lemon_1_4'],[0.39 0.62 0.48 0.57 0.68],[0.44 0.6  0.53 0.5  0.63],[0.41 0.61 0.51 0.53 0.65],[0.42 0.59 0.47 0.62 0.65]
