,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
397,There is a pair of reading glasses that has frames with a blue nose piece.,eye_glasses_3_4,0,[0 4 3 1 2],eye_glasses_3_4,['eye_glasses_3_4' 'shampoo_1_2' 'pencil_1_3' 'stapler_3_2' 'marker_4_4'],[0.28 0.55 0.56 0.44 0.56],[0.24 0.65 0.57 0.44 0.39],[0.26 0.6  0.56 0.44 0.48],[0.38 0.6  0.57 0.42 0.51],[0.32 0.6  0.57 0.43 0.49]
398,This is a pair of glasses with blue accents.,eye_glasses_3_4,0,[0 2 4 1 3],eye_glasses_3_4,"['eye_glasses_3_4' 'coffee_mug_4_3' 'toothpaste_4_2' 'spoon_5_4'
 'prescription_medicine_bottle_1_3']",[0.29 0.48 0.47 0.38 0.56],[0.26 0.42 0.79 0.48 0.4 ],[0.28 0.45 0.63 0.43 0.48],[0.34 0.46 0.52 0.33 0.52],[0.31 0.46 0.57 0.38 0.5 ]
399,It is a pair of glasses with blue-black frames.,eye_glasses_3_4,0,[0 3 4 2 1],eye_glasses_3_4,"['eye_glasses_3_4' 'medicine_bottle_4_2' 'gauze_2_3' 'food_jar_1_3'
 'plate_2_1']",[0.31 0.59 0.67 0.53 0.45],[0.25 0.57 0.59 0.57 0.51],[0.28 0.58 0.63 0.55 0.48],[0.35 0.68 0.42 0.56 0.34],[0.31 0.63 0.53 0.56 0.41]
400,There is a toothbrush with white and blue bristles and a yellow and white handle.,toothbrush_1_1,0,[0 3 4 1 2],toothbrush_1_1,"['toothbrush_1_1' 'cell_phone_2_2' 'food_jar_3_1' 'spoon_4_2'
 'toothpaste_5_2']",[0.26 0.57 0.74 0.24 0.34],[0.26 0.62 0.6  0.36 0.39],[0.26 0.59 0.67 0.3  0.36],[0.43 0.69 0.65 0.4  0.39],[0.35 0.64 0.66 0.35 0.38]
401,This object is a yellow handled toothbrush,toothbrush_1_1,0,[0 4 3 1 2],toothbrush_1_1,['toothbrush_1_1' 'notebook_2_3' 'marker_4_4' 'hammer_1_3' 'gauze_1_1'],[0.24 0.51 0.46 0.42 0.44],[0.24 0.45 0.47 0.39 0.47],[0.24 0.48 0.46 0.4  0.46],[0.31 0.44 0.47 0.49 0.33],[0.27 0.46 0.47 0.45 0.39]
402,"It is a toothbrush,white yellow and blue",toothbrush_1_1,0,[0 2 4 1 3],toothbrush_1_1,['toothbrush_1_1' 'book_2_4' 'hammer_4_2' 'syringe_4_1' 'hammer_5_1'],[0.27 0.39 0.51 0.38 0.52],[0.29 0.44 0.48 0.41 0.4 ],[0.28 0.41 0.49 0.4  0.46],[0.41 0.29 0.49 0.58 0.38],[0.34 0.35 0.49 0.49 0.42]
403,a yellow toothbrush,toothbrush_1_1,0,[0 4 1 3 2],toothbrush_1_1,"['toothbrush_1_1' 'food_can_3_2' 'eye_glasses_3_4' 'measuring_tape_5_2'
 'potato_5_1']",[0.27 0.75 0.48 0.6  0.55],[0.27 0.67 0.53 0.63 0.54],[0.27 0.71 0.5  0.62 0.54],[0.39 0.42 0.38 0.42 0.44],[0.33 0.57 0.44 0.52 0.49]
404,A yellow and white toothbrush.,toothbrush_1_1,0,[0 1 2 4 3],toothbrush_1_1,"['toothbrush_1_1' 'allen_wrench_3_3' 'medicine_bottle_1_4' 'food_can_2_1'
 'food_can_3_3']",[0.24 0.59 0.67 0.7  0.68],[0.26 0.36 0.61 0.77 0.61],[0.25 0.48 0.64 0.73 0.65],[0.44 0.38 0.35 0.44 0.42],[0.35 0.43 0.49 0.59 0.53]
405,A yellow and white plastic tooth brush.,toothbrush_1_1,0,[0 2 1 3 4],toothbrush_1_1,"['toothbrush_1_1' 'lime_1_1' 'allen_wrench_2_3' 'cell_phone_2_2'
 'water_bottle_2_3']",[0.21 0.53 0.47 0.51 0.57],[0.24 0.54 0.49 0.57 0.55],[0.22 0.53 0.48 0.54 0.56],[0.31 0.61 0.6  0.61 0.69],[0.27 0.57 0.54 0.57 0.62]
406,It is a yellow and white toothbrush.,toothbrush_1_1,0,[0 1 4 2 3],toothbrush_1_1,['toothbrush_1_1' 'pliers_3_4' 'stapler_2_1' 'tissue_box_1_3' 'pliers_5_3'],[0.28 0.39 0.71 0.46 0.5 ],[0.28 0.45 0.66 0.47 0.45],[0.28 0.42 0.68 0.46 0.47],[0.42 0.44 0.56 0.4  0.46],[0.35 0.43 0.62 0.43 0.47]
407,A toothbrush with a yellow and white handle.,toothbrush_1_1,0,[0 2 3 4 1],toothbrush_1_1,"['toothbrush_1_1' 'fork_3_4' 'can_opener_4_4' 'soda_bottle_4_1'
 'flashlight_2_3']",[0.28 0.26 0.68 0.66 0.4 ],[0.28 0.56 0.56 0.62 0.29],[0.28 0.41 0.62 0.64 0.35],[0.39 0.48 0.49 0.63 0.29],[0.33 0.44 0.55 0.63 0.32]
408,This is a toothbrush that is yellow and white.,toothbrush_1_1,0,[0 1 4 3 2],toothbrush_1_1,"['toothbrush_1_1' 'scissors_2_1' 'coffee_mug_4_3' 'lightbulb_2_4'
 'gauze_2_2']",[0.26 0.34 0.63 0.64 0.56],[0.28 0.42 0.68 0.62 0.42],[0.27 0.38 0.66 0.63 0.49],[0.39 0.53 0.5  0.51 0.43],[0.33 0.46 0.58 0.57 0.46]
409,Here is a yellow toothbrush. It has blue bristles.,toothbrush_1_1,0,[0 3 1 2 4],toothbrush_1_1,['toothbrush_1_1' 'lime_5_3' 'fork_4_2' 'scissors_5_1' 'food_jar_3_2'],[0.25 0.61 0.26 0.47 0.71],[0.28 0.58 0.45 0.47 0.6 ],[0.26 0.59 0.36 0.47 0.65],[0.47 0.4  0.49 0.6  0.54],[0.37 0.5  0.42 0.53 0.6 ]
410,A flat-head screwdriver with a black handle is displayed.,screwdriver_2_1,1,[1 3 0 2 4],toothbrush_3_3,"['screwdriver_2_1' 'coffee_mug_4_3' 'toothbrush_3_3' 'eye_glasses_1_2'
 'plate_2_1']",[0.24 0.48 0.16 0.54 0.6 ],[0.23 0.57 0.27 0.5  0.6 ],[0.23 0.52 0.21 0.52 0.6 ],[0.3  0.55 0.37 0.64 0.64],[0.27 0.54 0.29 0.58 0.62]
411,A white and green plastic object is displayed. There is a green seemingly extendable piece on the left underside of the object.,can_opener_1_4,2,[2 0 1 3 4],screwdriver_5_4,"['can_opener_1_4' 'screwdriver_5_4' 'book_2_4' 'lime_1_1'
 'water_bottle_2_4']",[0.42 0.31 0.4  0.43 0.52],[0.39 0.34 0.41 0.45 0.54],[0.41 0.33 0.4  0.44 0.53],[0.53 0.35 0.46 0.4  0.58],[0.47 0.34 0.43 0.42 0.56]
412,a large blue handled screwdriver.,screwdriver_2_1,0,[0 1 4 2 3],screwdriver_2_1,['screwdriver_2_1' 'food_can_4_3' 'fork_5_1' 'lime_1_1' 'band_aid_2_4'],[0.28 0.52 0.54 0.51 0.59],[0.21 0.46 0.74 0.59 0.64],[0.24 0.49 0.64 0.55 0.62],[0.41 0.35 0.55 0.49 0.47],[0.32 0.42 0.6  0.52 0.55]
413,na,can_opener_1_4,1,[1 4 0 2 3],toothbrush_3_3,['can_opener_1_4' 'book_2_4' 'toothbrush_3_3' 'pencil_2_1' 'sponge_2_4'],[0.33 0.48 0.38 0.44 0.46],[0.38 0.5  0.31 0.33 0.4 ],[0.35 0.49 0.34 0.38 0.43],[0.47 0.42 0.52 0.45 0.39],[0.41 0.45 0.43 0.42 0.41]
414,this is a screwdriver.,screwdriver_2_1,0,[0 4 2 1 3],screwdriver_2_1,"['screwdriver_2_1' 'cap_2_2' 'scissors_4_1' 'can_opener_1_4'
 'tissue_box_1_4']",[0.26 0.73 0.44 0.38 0.51],[0.18 0.62 0.51 0.47 0.6 ],[0.22 0.68 0.48 0.42 0.55],[0.23 0.56 0.42 0.43 0.47],[0.23 0.62 0.45 0.43 0.51]
415,this is a hand held can opener.,can_opener_1_4,0,[0 4 1 3 2],can_opener_1_4,"['can_opener_1_4' 'coffee_mug_1_1' 'hammer_1_3'
 'prescription_medicine_bottle_1_3' 'pencil_1_3']",[0.23 0.53 0.24 0.51 0.5 ],[0.2  0.48 0.5  0.47 0.46],[0.21 0.51 0.37 0.49 0.48],[0.46 0.48 0.38 0.68 0.39],[0.34 0.49 0.37 0.58 0.44]
416,The object is a blue screwdriver.,screwdriver_2_1,0,[0 2 4 3 1],screwdriver_2_1,"['screwdriver_2_1' 'toothpaste_4_2' 'water_bottle_1_4' 'scissors_5_1'
 'toothpaste_5_2']",[0.23 0.36 0.48 0.46 0.28],[0.18 0.36 0.51 0.42 0.36],[0.21 0.36 0.5  0.44 0.32],[0.32 0.36 0.32 0.5  0.33],[0.26 0.36 0.41 0.47 0.33]
417,NA,can_opener_1_4,0,[0 3 2 4 1],can_opener_1_4,"['can_opener_1_4' 'bell_pepper_2_2' 'pliers_1_3' 'plate_5_4'
 'toothbrush_4_2']",[0.33 0.43 0.41 0.51 0.38],[0.38 0.39 0.4  0.46 0.4 ],[0.35 0.41 0.4  0.49 0.39],[0.47 0.38 0.34 0.41 0.54],[0.41 0.4  0.37 0.45 0.46]
418,A blue screwdriver.,screwdriver_2_1,0,[0 1 3 4 2],screwdriver_2_1,"['screwdriver_2_1' 'toothbrush_4_1' 'measuring_tape_5_1' 'food_can_2_2'
 'sponge_1_3']",[0.23 0.33 0.58 0.61 0.31],[0.18 0.22 0.55 0.58 0.45],[0.2  0.27 0.56 0.6  0.38],[0.26 0.34 0.69 0.48 0.46],[0.23 0.31 0.63 0.54 0.42]
419,NA,can_opener_1_4,0,[0 3 4 1 2],can_opener_1_4,"['can_opener_1_4' 'plate_3_1' 'potato_4_1' 'picture_frame_5_3'
 'shampoo_2_2']",[0.33 0.47 0.54 0.35 0.4 ],[0.38 0.46 0.48 0.41 0.37],[0.35 0.47 0.51 0.38 0.38],[0.48 0.35 0.29 0.49 0.5 ],[0.42 0.41 0.4  0.43 0.44]
420,It is a screwdriver with a black handle,screwdriver_2_1,0,[0 1 4 3 2],screwdriver_2_1,"['screwdriver_2_1' 'soda_bottle_5_4' 'syringe_3_1' 'bell_pepper_5_1'
 'soda_bottle_5_2']",[0.24 0.57 0.66 0.58 0.56],[0.2  0.45 0.78 0.54 0.47],[0.22 0.51 0.72 0.56 0.52],[0.23 0.58 0.52 0.46 0.57],[0.23 0.55 0.62 0.51 0.55]
421,It is a tool,can_opener_1_4,1,[1 4 0 3 2],mouse_1_1,"['can_opener_1_4' 'soda_bottle_2_4' 'mouse_1_1' 'lime_3_1'
 'screwdriver_3_3']",[0.44 0.58 0.41 0.47 0.4 ],[0.38 0.54 0.3  0.53 0.43],[0.41 0.56 0.35 0.5  0.42],[0.36 0.55 0.55 0.37 0.33],[0.39 0.56 0.45 0.43 0.37]
422,It is a large flat-headed screwdriver with a blue handle.,screwdriver_2_1,0,[0 3 1 2 4],screwdriver_2_1,"['screwdriver_2_1' 'coffee_mug_4_3' 'hand_towel_3_4' 'allen_wrench_5_2'
 'allen_wrench_3_3']",[0.26 0.47 0.36 0.36 0.57],[0.19 0.57 0.26 0.31 0.48],[0.22 0.52 0.31 0.33 0.53],[0.39 0.39 0.37 0.32 0.41],[0.31 0.46 0.34 0.33 0.47]
423,NA,can_opener_1_4,0,[0 2 1 4 3],can_opener_1_4,"['can_opener_1_4' 'eye_glasses_4_1' 'toothpaste_4_2' 'plate_2_1'
 'apple_3_4']",[0.33 0.43 0.34 0.53 0.51],[0.38 0.44 0.39 0.55 0.54],[0.35 0.44 0.36 0.54 0.53],[0.4  0.4  0.48 0.47 0.35],[0.38 0.42 0.42 0.5  0.44]
424,a blue flat head screw driver,screwdriver_2_1,0,[0 1 4 2 3],screwdriver_2_1,"['screwdriver_2_1' 'water_bottle_2_4' 'measuring_tape_5_1'
 'measuring_tape_5_2' 'banana_1_3']",[0.31 0.46 0.62 0.49 0.59],[0.25 0.47 0.64 0.52 0.52],[0.28 0.46 0.63 0.51 0.56],[0.36 0.52 0.37 0.42 0.53],[0.32 0.49 0.5  0.46 0.54]
425,a green and white manual can opener,can_opener_1_4,0,[0 2 1 4 3],can_opener_1_4,"['can_opener_1_4' 'screwdriver_3_3' 'fork_2_3' 'medicine_bottle_1_4'
 'soda_bottle_4_3']",[0.22 0.4  0.37 0.62 0.65],[0.22 0.43 0.33 0.6  0.54],[0.22 0.42 0.35 0.61 0.6 ],[0.36 0.31 0.35 0.6  0.5 ],[0.29 0.36 0.35 0.6  0.55]
426,This is a screwdriver with a blue handle.,screwdriver_2_1,0,[0 4 3 2 1],screwdriver_2_1,"['screwdriver_2_1' 'mouse_1_1' 'food_jar_4_1' 'hand_towel_3_4'
 'toothbrush_4_1']",[0.24 0.56 0.52 0.39 0.39],[0.16 0.53 0.48 0.28 0.26],[0.2  0.55 0.5  0.34 0.32],[0.41 0.39 0.34 0.41 0.36],[0.3  0.47 0.42 0.37 0.34]
427,This is a white can opener. It has green knobs.,can_opener_1_4,0,[0 4 3 2 1],can_opener_1_4,"['can_opener_1_4' 'water_bottle_2_3' 'medicine_bottle_2_4' 'mouse_3_3'
 'bell_pepper_5_1']",[0.22 0.76 0.61 0.54 0.39],[0.21 0.65 0.62 0.56 0.4 ],[0.22 0.71 0.62 0.55 0.39],[0.38 0.48 0.39 0.39 0.44],[0.3  0.59 0.51 0.47 0.42]
428,A large standard screw driver with a blue grip.,screwdriver_2_1,0,[0 2 3 4 1],screwdriver_2_1,['screwdriver_2_1' 'lime_3_1' 'potato_3_4' 'apple_5_4' 'pliers_5_3'],[0.24 0.49 0.56 0.59 0.36],[0.28 0.55 0.5  0.54 0.38],[0.26 0.52 0.53 0.57 0.37],[0.32 0.59 0.67 0.57 0.41],[0.29 0.56 0.6  0.57 0.39]
429,NA,can_opener_1_4,0,[0 4 1 3 2],can_opener_1_4,"['can_opener_1_4' 'coffee_mug_5_2' 'notebook_2_3' 'coffee_mug_3_1'
 'prescription_medicine_bottle_3_3']",[0.33 0.52 0.38 0.52 0.41],[0.38 0.57 0.42 0.56 0.41],[0.35 0.55 0.4  0.54 0.41],[0.39 0.62 0.59 0.56 0.61],[0.37 0.58 0.5  0.55 0.51]
430,A salad fork. Used to retrieve food from a container to insert into the mouth for eating.,fork_1_2,0,[0 3 2 1 4],fork_1_2,['fork_1_2' 'cell_phone_2_2' 'lightbulb_1_4' 'plate_4_2' 'spoon_1_3'],[0.26 0.48 0.49 0.46 0.55],[0.51 0.49 0.4  0.43 0.54],[0.38 0.48 0.45 0.44 0.54],[0.5  0.29 0.37 0.37 0.49],[0.44 0.39 0.41 0.4  0.52]
431,a utensil that has prongs used to stab into food,fork_1_2,0,[0 1 3 2 4],fork_1_2,['fork_1_2' 'marker_6_3' 'tissue_box_1_3' 'bowl_1_4' 'coffee_mug_2_1'],[0.22 0.41 0.57 0.43 0.64],[0.47 0.37 0.69 0.48 0.64],[0.35 0.39 0.63 0.45 0.64],[0.46 0.47 0.34 0.38 0.32],[0.4  0.43 0.49 0.42 0.48]
432,This is a silver metal fork.,fork_1_2,1,[1 0 2 3 4],toothbrush_2_1,"['fork_1_2' 'toothbrush_2_1' 'toothpaste_5_2' 'medicine_bottle_3_4'
 'lime_3_1']",[0.2  0.42 0.47 0.57 0.56],[0.47 0.26 0.31 0.55 0.65],[0.34 0.34 0.39 0.56 0.6 ],[0.39 0.36 0.4  0.5  0.59],[0.36 0.35 0.4  0.53 0.6 ]
433,a silver fork,fork_1_2,1,[1 2 4 0 3],sponge_2_4,['fork_1_2' 'mouse_3_3' 'water_bottle_4_4' 'sponge_2_4' 'screwdriver_5_4'],[0.24 0.53 0.61 0.37 0.63],[0.53 0.52 0.63 0.35 0.51],[0.38 0.53 0.62 0.36 0.57],[0.37 0.38 0.64 0.41 0.44],[0.38 0.45 0.63 0.39 0.51]
434,"A silver fork, such as a dinner fork.",fork_1_2,0,[0 1 3 2 4],fork_1_2,['fork_1_2' 'notebook_2_3' 'plate_4_2' 'hammer_6_2' 'toothpaste_2_4'],[0.21 0.4  0.47 0.45 0.68],[0.5  0.44 0.43 0.44 0.79],[0.36 0.42 0.45 0.44 0.73],[0.41 0.35 0.26 0.42 0.48],[0.38 0.39 0.36 0.43 0.61]
435,This is a silver fork.,fork_1_2,1,[1 2 3 0 4],notebook_2_4,"['fork_1_2' 'coffee_mug_4_3' 'can_opener_2_1' 'notebook_2_4'
 'bell_pepper_5_1']",[0.23 0.43 0.46 0.36 0.53],[0.52 0.52 0.53 0.24 0.56],[0.37 0.48 0.49 0.3  0.55],[0.41 0.5  0.47 0.41 0.5 ],[0.39 0.49 0.48 0.36 0.52]
436,A silver pronged eating utensil called a fork.,fork_1_2,0,[0 4 2 3 1],fork_1_2,['fork_1_2' 'sponge_1_3' 'allen_wrench_3_3' 'plate_4_2' 'band_aid_4_2'],[0.26 0.36 0.42 0.51 0.41],[0.51 0.63 0.45 0.47 0.41],[0.38 0.49 0.44 0.49 0.41],[0.44 0.38 0.37 0.36 0.4 ],[0.41 0.44 0.4  0.42 0.4 ]
437,The object is a metal fork.,fork_1_2,0,[0 3 1 2 4],fork_1_2,"['fork_1_2' 'coffee_mug_2_1' 'eye_glasses_1_2' 'bell_pepper_1_1'
 'prescription_medicine_bottle_2_4']",[0.18 0.64 0.46 0.47 0.63],[0.47 0.55 0.49 0.55 0.71],[0.33 0.6  0.48 0.51 0.67],[0.34 0.45 0.47 0.34 0.48],[0.33 0.52 0.47 0.42 0.57]
438,This is a silver fork. It is shiny & has 4 ends on it.,fork_1_2,0,[0 3 2 1 4],fork_1_2,['fork_1_2' 'gauze_2_2' 'stapler_2_1' 'can_opener_1_4' 'shampoo_4_2'],[0.21 0.69 0.5  0.37 0.57],[0.41 0.41 0.39 0.38 0.63],[0.31 0.55 0.45 0.38 0.6 ],[0.46 0.48 0.4  0.38 0.26],[0.39 0.51 0.42 0.38 0.43]
439,The object is a silver metal fork.,fork_1_2,0,[0 4 2 3 1],fork_1_2,['fork_1_2' 'shampoo_5_2' 'syringe_5_3' 'screwdriver_1_3' 'sponge_2_4'],[0.19 0.68 0.4  0.43 0.39],[0.44 0.52 0.38 0.42 0.36],[0.32 0.6  0.39 0.42 0.38],[0.41 0.39 0.49 0.35 0.46],[0.36 0.5  0.44 0.39 0.42]
440,bottle of head and shoulders shampoo.,shampoo_1_2,0,[0 1 2 3 4],shampoo_1_2,"['shampoo_1_2' 'picture_frame_5_1' 'screwdriver_2_1' 'spoon_3_3'
 'fork_1_2']",[0.33 0.44 0.51 0.6  0.63],[0.19 0.36 0.53 0.59 0.59],[0.26 0.4  0.52 0.59 0.61],[0.28 0.42 0.55 0.57 0.58],[0.27 0.41 0.54 0.58 0.59]
441,This is a bottle of Head and Shoulders shampoo. The bottle is white with writing and top is blue in color.,shampoo_1_2,0,[0 3 4 2 1],shampoo_1_2,['shampoo_1_2' 'hand_towel_2_3' 'pencil_5_2' 'coffee_mug_5_1' 'book_3_1'],[0.28 0.51 0.58 0.48 0.45],[0.16 0.48 0.66 0.5  0.39],[0.22 0.5  0.62 0.49 0.42],[0.34 0.31 0.5  0.4  0.29],[0.28 0.4  0.56 0.44 0.36]
442,The object is a large white shampoo bottle with blue top.,shampoo_1_2,0,[0 3 2 1 4],shampoo_1_2,['shampoo_1_2' 'banana_3_4' 'soda_bottle_3_2' 'gauze_2_3' 'marker_4_4'],[0.25 0.57 0.43 0.31 0.51],[0.18 0.53 0.37 0.39 0.61],[0.22 0.55 0.4  0.35 0.56],[0.28 0.68 0.4  0.35 0.62],[0.25 0.62 0.4  0.35 0.59]
443,This item is a white & blue bottle of bath condiments.,shampoo_1_2,0,[0 2 3 4 1],shampoo_1_2,"['shampoo_1_2' 'potato_2_1' 'syringe_5_1' 'flashlight_1_3'
 'picture_frame_3_1']",[0.32 0.53 0.46 0.71 0.45],[0.22 0.4  0.57 0.5  0.29],[0.27 0.47 0.52 0.6  0.37],[0.28 0.56 0.56 0.7  0.43],[0.27 0.51 0.54 0.65 0.4 ]
444,It is a bottle of hair conditioner and has a blue top and is showing the side of its contents and warnings.,shampoo_1_2,1,[1 3 0 4 2],food_jar_3_2,['shampoo_1_2' 'potato_3_4' 'food_jar_3_2' 'apple_1_5' 'coffee_mug_5_1'],[0.34 0.53 0.31 0.66 0.33],[0.3  0.48 0.24 0.66 0.33],[0.32 0.51 0.27 0.66 0.33],[0.4  0.68 0.42 0.75 0.4 ],[0.36 0.59 0.35 0.71 0.36]
445,A tall white and blue bottle of shampoo.,shampoo_1_2,0,[0 3 2 4 1],shampoo_1_2,"['shampoo_1_2' 'lightbulb_2_4' 'water_bottle_4_1' 'hammer_3_3'
 'medicine_bottle_5_2']",[0.26 0.51 0.26 0.55 0.26],[0.15 0.46 0.25 0.47 0.24],[0.2  0.48 0.25 0.51 0.25],[0.41 0.42 0.3  0.58 0.24],[0.31 0.45 0.27 0.54 0.25]
446,a white plastic bottle of shampoo,shampoo_1_2,0,[0 2 4 3 1],shampoo_1_2,"['shampoo_1_2' 'coffee_mug_3_1' 'bell_pepper_3_1'
 'prescription_medicine_bottle_3_3' 'soda_bottle_4_1']",[0.25 0.49 0.52 0.57 0.38],[0.12 0.55 0.62 0.48 0.37],[0.18 0.52 0.57 0.52 0.37],[0.37 0.48 0.4  0.5  0.41],[0.28 0.5  0.48 0.51 0.39]
447,NA,shampoo_1_2,2,[2 0 4 3 1],toothbrush_3_3,"['shampoo_1_2' 'toothbrush_3_3' 'soda_bottle_4_3' 'toothpaste_2_4'
 'pliers_5_3']",[0.38 0.38 0.44 0.4  0.39],[0.39 0.31 0.44 0.39 0.37],[0.39 0.34 0.44 0.4  0.38],[0.29 0.41 0.28 0.47 0.45],[0.34 0.38 0.36 0.43 0.42]
448,"Head, shoulders, knees and toes!",shampoo_1_2,1,[1 3 2 0 4],can_opener_2_1,['shampoo_1_2' 'marker_5_2' 'bowl_1_4' 'can_opener_2_1' 'pencil_1_1'],[0.46 0.52 0.5  0.47 0.54],[0.52 0.53 0.49 0.4  0.61],[0.49 0.52 0.49 0.44 0.57],[0.25 0.52 0.41 0.43 0.57],[0.37 0.52 0.45 0.43 0.57]
449,A tall object that dispenses shampoo or conditioner.,shampoo_1_2,1,[1 2 0 4 3],picture_frame_4_4,"['shampoo_1_2' 'notebook_1_1' 'picture_frame_4_4' 'scissors_2_1'
 'bowl_5_4']",[0.31 0.39 0.32 0.58 0.38],[0.29 0.36 0.28 0.56 0.42],[0.3  0.37 0.3  0.57 0.4 ],[0.31 0.48 0.33 0.81 0.43],[0.31 0.43 0.32 0.69 0.41]
450,This is a large insulated thermos for liquids.,water_bottle_1_4,0,[0 1 2 4 3],water_bottle_1_4,['water_bottle_1_4' 'notebook_2_3' 'lightbulb_4_3' 'plate_1_2' 'cap_1_2'],[0.27 0.37 0.39 0.48 0.44],[0.28 0.42 0.51 0.5  0.51],[0.28 0.39 0.45 0.49 0.47],[0.39 0.47 0.47 0.46 0.45],[0.33 0.43 0.46 0.47 0.46]
451,It is a hot-cold bottle,water_bottle_1_4,0,[0 1 2 3 4],water_bottle_1_4,"['water_bottle_1_4' 'bowl_3_2' 'lemon_4_4' 'onion_4_4'
 'measuring_tape_3_4']",[0.33 0.34 0.38 0.31 0.51],[0.28 0.34 0.4  0.49 0.56],[0.3  0.34 0.39 0.4  0.54],[0.44 0.49 0.38 0.43 0.42],[0.37 0.41 0.38 0.41 0.48]
452,The object is a thermos. The thermos is blue.,water_bottle_1_4,0,[0 4 2 1 3],water_bottle_1_4,['water_bottle_1_4' 'hammer_1_3' 'marker_4_4' 'can_opener_2_1' 'plate_5_4'],[0.2  0.64 0.48 0.53 0.6 ],[0.2  0.55 0.58 0.49 0.46],[0.2  0.6  0.53 0.51 0.53],[0.32 0.47 0.53 0.45 0.5 ],[0.26 0.53 0.53 0.48 0.52]
453,It is a blue Contigo water bottle.,water_bottle_1_4,0,[0 2 1 4 3],water_bottle_1_4,"['water_bottle_1_4' 'marker_2_1' 'band_aid_5_3' 'stapler_2_3'
 'measuring_tape_1_3']",[0.15 0.55 0.4  0.65 0.55],[0.12 0.56 0.38 0.5  0.58],[0.13 0.55 0.39 0.58 0.57],[0.16 0.48 0.37 0.51 0.54],[0.15 0.52 0.38 0.54 0.55]
454,"This is a blue thermos with a white ""button"" for release of liquids",water_bottle_1_4,0,[0 3 2 4 1],water_bottle_1_4,['water_bottle_1_4' 'lime_3_1' 'potato_2_1' 'can_opener_4_1' 'plate_4_2'],[0.43 0.47 0.44 0.56 0.42],[0.37 0.48 0.4  0.57 0.41],[0.4  0.48 0.42 0.57 0.41],[0.26 0.63 0.42 0.4  0.57],[0.33 0.55 0.42 0.48 0.49]
455,this is an insulated water bottle.,water_bottle_1_4,0,[0 1 2 4 3],water_bottle_1_4,"['water_bottle_1_4' 'prescription_medicine_bottle_3_4' 'apple_4_4'
 'spoon_5_4' 'measuring_tape_2_4']",[0.17 0.35 0.48 0.6  0.54],[0.17 0.41 0.56 0.52 0.57],[0.17 0.38 0.52 0.56 0.55],[0.32 0.37 0.47 0.53 0.43],[0.24 0.38 0.5  0.54 0.49]
456,A tall dark blue thermos.,water_bottle_1_4,0,[0 4 1 3 2],water_bottle_1_4,"['water_bottle_1_4' 'notebook_1_1' 'picture_frame_1_2' 'plate_1_2'
 'band_aid_4_2']",[0.26 0.56 0.49 0.49 0.51],[0.22 0.49 0.42 0.52 0.47],[0.24 0.52 0.45 0.51 0.49],[0.27 0.63 0.47 0.55 0.6 ],[0.26 0.58 0.46 0.53 0.54]
457,a thermo water holder,water_bottle_1_4,0,[0 3 1 4 2],water_bottle_1_4,"['water_bottle_1_4' 'sponge_1_3' 'screwdriver_3_3' 'measuring_tape_2_4'
 'lemon_2_4']",[0.17 0.52 0.47 0.57 0.58],[0.18 0.58 0.58 0.62 0.5 ],[0.18 0.55 0.53 0.59 0.54],[0.28 0.45 0.5  0.5  0.52],[0.23 0.5  0.51 0.55 0.53]
458,"There is a tall, blue water bottle sitting on the turntable.",water_bottle_1_4,0,[0 1 2 4 3],water_bottle_1_4,"['water_bottle_1_4' 'medicine_bottle_2_4' 'plate_3_1' 'syringe_1_1'
 'lime_2_3']",[0.23 0.26 0.44 0.6  0.62],[0.18 0.35 0.42 0.55 0.53],[0.2  0.31 0.43 0.57 0.57],[0.32 0.29 0.61 0.67 0.79],[0.26 0.3  0.52 0.62 0.68]
459,This is a blue metal water bottle.,water_bottle_1_4,0,[0 4 2 1 3],water_bottle_1_4,"['water_bottle_1_4' 'cell_phone_2_2' 'allen_wrench_2_2' 'bowl_4_2'
 'cap_2_2']",[0.15 0.69 0.58 0.39 0.7 ],[0.12 0.66 0.58 0.42 0.51],[0.14 0.68 0.58 0.4  0.6 ],[0.44 0.35 0.33 0.41 0.48],[0.29 0.51 0.46 0.41 0.54]
460,A red bell pepper,bell_pepper_2_1,0,[0 1 4 2 3],bell_pepper_2_1,"['bell_pepper_2_1' 'water_bottle_2_4' 'scissors_5_1' 'shampoo_4_2'
 'medicine_bottle_3_4']",[0.13 0.5  0.7  0.46 0.6 ],[0.21 0.48 0.71 0.53 0.61],[0.17 0.49 0.7  0.49 0.6 ],[0.34 0.6  0.4  0.57 0.34],[0.25 0.54 0.55 0.53 0.47]
461,A red sweet pepper.,bell_pepper_2_1,0,[0 4 2 1 3],bell_pepper_2_1,"['bell_pepper_2_1' 'measuring_tape_4_1' 'hammer_1_3' 'food_jar_1_3'
 'stapler_1_1']",[0.12 0.54 0.42 0.41 0.57],[0.19 0.61 0.54 0.3  0.55],[0.15 0.57 0.48 0.36 0.56],[0.28 0.5  0.36 0.38 0.48],[0.22 0.54 0.42 0.37 0.52]
